Country,Ladder,Log_GDP,Soc_Support,Health_Expect,Freedom,Generosity,Conf_Gov,Pos_Affect,Neg_Affect,Corrupt,sdLadder,cvLadder,Gini_Household,Int_Score
India,4.1791772842,8.7131586075,0.6135293841,59.3495979309,0.8200687766,0.0351237468,0.7321045995,0.6945044398,0.3456814587,0.7647221088,1.7413492203,0.4166727364,0.3936073184,3.49633614222209
Indonesia,5.1363253593,9.2874126434,0.7918305993,60.4772834778,0.8299416304,0.4859275818,0.8008807302,0.8328119516,0.341573596,0.8896774054,2.5467782021,0.4958366156,0.4136692882,4.4903372724851
Iran,4.6527309418,9.7488279343,0.5662811995,65.657081604,0.666755676269531,0.1568540633,0.7094711661,0.6867649555,0.5258768201,0.744202852249146,2.5424385071,0.5464400649,0.5242117047,2.25807428359985
Iraq,4.4125370979,9.5867195129,0.7189567089,60.8536605835,0.6661601663,-0.0829150602,0.4186043143,0.4886920154,0.5697580576,0.7988664508,2.948788166,0.6682749987,0.5483731627,1.93697253863017
Ireland,7.0407314301,10.9011526108,0.9581440091,71.4040679932,0.8745891452,0.1717856377,0.5747397542,0.8092030287,0.2110633105,0.3985443115,1.8430733681,0.2617729902,0.3657854199,8.29868257045746
Israel,7.1590108871,10.3674640656,0.8896607757,72.3062438965,0.7722973228,0.1466924995,0.4381331801,0.6291893721,0.2630902231,0.8040565848,1.6665967703,0.2327970713,0.3060690463,6.92000945409139
Italy,5.9545240402,10.4318437576,0.9272128344,72.7275619507,0.6237416267,-0.0872766227,0.2375990897,0.6854228377,0.3391735852,0.9028012156,1.8718636036,0.3143599033,0.3970482051,6.01125091314316
Ivory Coast,4.5425457954,8.1574745178,0.6174007654,45.3593215942,0.768789351,-0.0266161282,0.7148167491,0.7036165595,0.3780294061,0.757453382,2.4626038074,0.5421197414,0.5503227115,1.99905196825663
Jamaica,5.3105387688,9.0442333221,0.8742315173,65.4300689697,0.8089731336,-0.0030931442,0.2795064747,0.7371608615,0.3099849224,0.8611325026,2.7640483379,0.520483613,0.718125999,5.04752497499188
Japan,5.9546508789,10.4938106537,0.8997738361,75.0888519287,0.8360646367,-0.0756061673,0.3622006476,0.7601085901,0.1924026459,0.6976393461,1.8989526033,0.3189024329,0.3290558457,7.79018501440684
Jordan,5.2712845802,9.2399425507,0.8199447393,64.3082733154,0.7713506222,-0.0529453419,0.506050696427409,0.6406578422,0.3119133711,0.664175391197205,2.6756856441,0.5075964928,0.3697837591,4.48403343558311
Kazakhstan,5.533551693,10.0865650177,0.9278106689,65.2588272095,0.782805562,-0.0533127449,0.7597261667,0.7024791241,0.1554147303,0.7020166516,2.0124981403,0.3636901379,0.339127779,6.45082135995229
Kenya,4.3961277008,8.0046253204,0.7059215903,54.5826454163,0.7485082746,0.3153704405,0.5776540637,0.7427623272,0.2256476581,0.8284115791,2.43389678,0.5536456108,0.5562928915,3.38301281134287
Kosovo,5.7594122887,9.1640768051,0.8238027096,62.2653923035,0.8273985982,0.1182904169,0.3137645721,0.7038869858,0.1496067196,0.9408979416,2.2976200581,0.3989330828,0.407474339,6.11828625202179
Kuwait,5.9471945763,11.0898046494,0.8452220559,65.2239532471,0.8409671783,-0.113090381,0.410004074969688,0.6882872581,0.3149229884,0.620042562484741,2.3606340885,0.3969323933,0.5388387442,6.0646582643191
Kyrgyzstan,4.8565340042,8.0917434692,0.914375484,62.5934638977,0.8139392138,0.0819178,0.527570188,0.7781712413,0.1260996759,0.9169228077,1.9193524122,0.3952103257,0.4018557668,5.9434242049853
Laos,4.8760848045,8.4114084244,0.6926279068,56.3509902954,0.734118819236755,0.2406114042,0.474707239789938,0.9168009758,0.3866792321,0.723117172718048,1.6960864067,0.3478377461,0.6117562056,3.99584333101908
Latvia,5.9404463768,10.052936554,0.9170739651,65.524887085,0.6852992773,-0.1626577228,0.3152613044,0.6537512541,0.2313835323,0.8676396012,1.7051203251,0.2870357335,0.3840254545,5.92303544282913
Lebanon,5.2707238197,9.4568538666,0.8278859258,68.8722457886,0.6573574543,0.0345261097,0.1379514337,0.5526511073,0.2634456158,0.8531144857,2.2120873928,0.4196932912,0.3228351474,4.94390590737263
Lesotho,3.8082048893,7.8581161499,0.7980592847,43.3773956299,0.7294898629,-0.0937417001,0.6092690229,0.7324655652,0.2702834904,0.7428733706,3.1026823521,0.8147361875,0.6764373183,2.15030908584595
Liberia,3.3546760082,6.6817188263,0.642614603,51.5491600037,0.7634760141,0.0857057124,0.544246912,0.6355275512,0.5090466738,0.9012674689,2.6255066395,0.7826408744,0.558121264,1.15489721298218
Libya,5.4335832596,9.6253824234,0.8760658503,61.297492981,0.8223848343,-0.1294741035,0.49392849575764,0.7177850604,0.3830737472,0.728677749633789,2.6879537106,0.4946926534,0.4807113409,4.71878466506799
Lithuania,5.8655524254,10.2161130905,0.9378733635,65.0599899292,0.6142393351,-0.2738747299,0.2796385586,0.5941672921,0.2498557419,0.9493926764,1.9062008858,0.3249823153,0.3554882705,5.26186347007751
Luxembourg,6.9673409462,11.4592485428,0.9412605762,72.8973236084,0.882365346,0.0038429648,0.6789778471,0.7579497695,0.1923007071,0.3563363254,1.3890651464,0.1993680447,0.3118042648,8.53870630264282
Macedonia,5.3457460403,9.4863157272,0.871212244,65.6987228394,0.7061793208,0.0773191601,0.2569541335,0.6387372017,0.2922946811,0.8697190285,2.1750414371,0.4068733156,0.444568932056427,5.13475793103377
Madagascar,3.6630859375,7.2333860397,0.7464969754,56.6405677795,0.5696454048,-0.0574007668,0.4901991785,0.8131913543,0.204255417,0.8641711473,1.5325288773,0.4183709919,0.4796761572,3.56981257597605
Malawi,3.4764926434,7.01369524,0.5242996216,55.2821235657,0.809884131,0.0644339025,0.5525344014,0.6031045914,0.3247389197,0.8236150146,2.2318577766,0.641985476,0.5259558558,1.73231959342957
Malaysia,6.3221211433,10.138876915,0.8176162839,64.7516326904,0.6745944619,0.2026397288,0.4368217885,0.7747161984,0.3137327433,0.8378922343,2.0219182968,0.3198164403,0.3942687213,5.79411228497823
Mali,4.0160279274,7.756872654,0.8362545371,49.5902442932,0.6960073709,-0.0752445981,0.5241993666,0.8069013357,0.3052994311,0.8623266816,1.7733235359,0.4415615499,0.4380342662,3.45879226922989
Malta,6.590842247,10.385612487793,0.9303693771,71.6542053223,0.916023612,0.03241503983736,0.6188182831,0.687271595,0.3554437757,0.6964946389,1.8753358126,0.2845366001,0.4012758136,7.12681849797567
Mauritania,4.4721493721,8.2491416931,0.7848268747,53.3738098145,0.4665614665,-0.1596012712,0.2089292258,0.7345560789,0.2216661423,0.8418351412,2.1788160801,0.4871966243,0.4568404555,3.49944730599721
Mauritius,5.6100034714,9.8520889282,0.8360321522,65.4822540283,0.8191756606,0.1292739958,0.565379262,0.7848982811,0.2457118928,0.8906613588,2.0858848095,0.3718152344,0.386705786,6.16826891899109
Mexico,6.8241729736,9.7245817184,0.8934925795,67.9699478149,0.7516130805,-0.1569367051,0.2779440582,0.8591064215,0.2195714861,0.8085794449,1.9594572783,0.2871347666,0.4326342642,7.48553077379863
Moldova,5.5777840614,8.4697933197,0.8373214602,63.9082069397,0.5573694706,0.0057027973,0.0840612426,0.621101141,0.2745511234,0.9694829583,1.8537135124,0.3323386908,0.3728651404,4.53643833597501
Mongolia,5.0569996834,9.3375902176,0.9474893808,62.9266548157,0.7597409487,0.0746712983,0.3493828773,0.6940954328,0.1711717546,0.900452137,1.6921592951,0.3346172571,0.3864138424,6.16324643294017
Montenegro,5.3040661812,9.6519393921,0.8657436967,66.5225601196,0.5686336756,-0.0887708589,0.3259592354,0.5914251804,0.3366754651,0.8489665985,2.2282915115,0.4201100469,0.356859386,4.35147215922674
Morocco,5.3863072395,8.9074735641,0.6554093361,64.1189041138,0.8165560961,-0.249510631,0.421695623286011,0.712659359,0.2054131478,0.7173561454,2.143992424,0.3980449438,0.5282097459,5.28623429437478
Mozambique,4.5497674942,7.0174994469,0.6658582091,47.0465583801,0.8132292628,0.1019134447,0.7067277431,0.5644606352,0.3395843506,0.6315734982,3.0160002708,0.6628910899,0.8494624496,1.28566265106201
Myanmar,4.6231198311,8.59265041351318,0.7934619784,57.2291793823,0.8774911761,0.0044148969464,0.474707239789938,0.8040099144,0.3015013933,0.6072865725,1.8507627249,0.4003276527,0.426540643,5.56749780972799
Namibia,4.5739912987,9.1581516266,0.762783587,55.0264358521,0.8493549824,-0.1891915947,0.7795437574,0.7486367822,0.2389614433,0.7902283669,2.7245676517,0.5956652164,0.7801197767,4.02940501769384
Nepal,5.0995397568,7.7404208183,0.837043643,61.0563659668,0.8394884467,0.1840856522,0.490016222,0.6273511648,0.3696617484,0.8171148896,2.4420258999,0.4788718224,0.483672142,3.6204469203949
Netherlands,7.5408773422,10.75715065,0.9259442091,71.2672424316,0.907310009,0.2260822654,0.572273314,0.8384323716,0.2148507386,0.4333042502,1.2814716101,0.1699366719,0.4170540571,8.6441977818807
New Zealand,7.2256879807,10.4676265717,0.9366028905,71.4731674194,0.9265760183,0.2561613023,0.5696901679,0.8329446912,0.2074136287,0.278270781,1.7404985428,0.2408765107,0.4197648764,8.36814999580383
Nicaragua,6.0127396584,8.5262269974,0.8527024388,66.1049194336,0.7165342569,0.0429624505,0.5865497589,0.8051239848,0.3803472817,0.7314649224,2.8001537323,0.4657034576,0.4160876274,4.66745647291342
Niger,4.2346458435,6.8121147156,0.6828282475,53.15184021,0.7019273043,0.0069008246,0.5724675059,0.6748589277,0.3254419565,0.8144938946,2.2795438766,0.5383080244,0.4747564495,2.23872522513072
Nigeria,5.2195677757,8.619102478,0.804766953,45.4705848694,0.7976905107,0.0325634666,0.4143260717,0.7319861054,0.2518362999,0.9047068357,2.5199592113,0.4827907681,0.5005320907,3.9423402150472
North Cyprus,5.8271279335,8.35098743438721,0.8076902628,56.3893127441406,0.7962338328,-0.029888624325395,0.4405948818,0.64366436,0.346465379,0.6701914072,1.8576378822,0.3187913299,0.2934357226,6.07769459486008
Norway,7.5963315964,11.0685720444,0.9597428441,70.7845916748,0.9543523192,0.1055388451,0.6576462388,0.8496259451,0.2092621922,0.409666121,1.5792648792,0.2078983635,0.3496592045,9.00290648142497
Oman,6.8529820442,10.6567697525,0.622000873088837,66.2845230103,0.916293025,-0.0166224558,0.394255775270983,0.565305054187775,0.2951641083,0.52686095237732,2.1016225815,0.3066727221,0.4947896004,6.70372267564138
Pakistan,5.5485081673,8.4885597229,0.6269212961,57.3980445862,0.6341828108,0.0818398371,0.4556831717,0.6476397514,0.3316166699,0.7925300598,1.9569582939,0.3526999056,0.3233286142,3.48259349664052
Palestinian Territories,4.9066181183,8.46180439,0.8177709579,62.9549942017,0.6076694131,-0.1323988885,0.4637715518,0.592769146,0.3776417971,0.8124646544,2.3755087852,0.4841438234,0.4205577374,3.14541856447856
Panama,6.1176381111,9.9901027679,0.8824602365,67.8240127563,0.8844797611,-0.0984188393,0.3298944831,0.8576235771,0.2441317886,0.8369767666,2.6457357407,0.4324766695,0.534175694,7.04715708891551
Paraguay,5.8013801575,9.0813179016,0.93986696,63.4112091064,0.8535342813,-0.0583680794,0.2845597565,0.9245609641,0.1971761882,0.756116271,1.9607025385,0.3379717469,0.4764572382,7.29153235753377
Peru,5.7006287575,9.3864583969,0.8028564453,65.2674865723,0.8298438787,-0.1440143287,0.2819233835,0.8216747642,0.3380068541,0.86591959,2.3739392757,0.4164346457,0.4801438153,5.76493456959724
Philippines,5.4308328629,8.8905267715,0.8212987185,59.5945892334,0.9075957537,-0.0761986896,0.7716267109,0.8209694624,0.290232718,0.7919622064,2.4706177711,0.4549242854,0.5334559083,5.21208211779594
Poland,6.1620764732,10.1500015259,0.9173988104,67.662147522,0.8707075119,-0.1009474993,0.3827131987,0.77662462,0.2235360444,0.847753942,1.8458486795,0.2995497882,0.3121575415,7.44986275831858
Portugal,5.4466371536,10.2086029053,0.9046353698,70.7562789917,0.8380693197,-0.2324792445,0.3545424044,0.6835662127,0.3262527287,0.9221923947,2.1320128441,0.391436547,0.45052737,6.17391506830851
Qatar,6.3745293617,11.8154096603,0.873423635959625,67.8064346313,0.853472828865051,0.084982931613922,0.42276344794859,0.725106954574585,0.247170493006706,0.466250747442246,2.2564179897,0.3539740443,0.6531749964,6.34739100933075
Romania,5.9688706398,9.9426708221,0.8092291951,66.9484481812,0.8217206001,-0.1182672158,0.1813546568,0.6944153309,0.257763505,0.9490445256,2.199886322,0.3685598969,0.372027576,6.33570233980815
Russia,5.8549456596,10.0623064041,0.9109273553,62.2074966431,0.713606298,-0.1927021742,0.5843037963,0.6362986565,0.1424972266,0.9254627228,2.0901989937,0.3569971621,0.365685463,6.06596122185389
Rwanda,3.3329899311,7.4552292824,0.6651309133,55.0908088684,0.910736382,0.0349590518,0.532398525412549,0.7523106933,0.2853842378,0.1586013883,1.8955751657,0.5687311292,0.6025674939,3.00007104873657
Saudi Arabia,6.473921299,10.8228693008,0.8899323344,63.8508605957,0.7742677331,-0.1576780826,0.394255775270983,0.7929985523,0.2662926614,0.657345771789551,2.0700845718,0.3197574615,0.5828178525,6.58250391483307
Senegal,4.5945339203,7.7697505951,0.8389943838,57.8877105713,0.743729651,-0.0681760684,0.6308761835,0.7838179469,0.244851768,0.7943537235,1.8151446581,0.3950661123,0.4222064912,4.50184802214305
Serbia,5.7527546883,9.4843997955,0.8948949575,66.0674819946,0.6143708229,-0.0668443143,0.4501231015,0.5348270535,0.2981266081,0.889765203,2.4361877441,0.4234819412,0.3490619957,4.49100534121196
Sierra Leone,4.7329530716,7.3532299995,0.6567234993,44.0107345581,0.6812021136,0.1102397665,0.7009102702,0.5839391351,0.4561806917,0.8632648587,3.5278203487,0.7453740239,0.6748092175,1.02194547653198
Singapore,6.0334806442,11.3000040054,0.9251282215,76.4086990356,0.9037356377,0.124826394,0.9306172729,0.8239887357,0.110942468,0.0473111533,1.302087903,0.2158104032,0.4282768667,8.61695806185405
Slovakia,5.9931631088,10.247341156,0.9451791048,68.1632537842,0.7000985146,-0.0751289725,0.3722221553,0.7744160891,0.2320915759,0.9166091681,1.9160094261,0.319699198,0.282240212,6.89193586508433
Slovenia,5.9368214607,10.2873563766,0.9344873428,70.8003082275,0.9035511017,-0.0614833124,0.2498451024,0.6262055635,0.2716241777,0.8384743929,2.1072878838,0.3549522161,0.3608115613,6.86811844507853
